"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.02641","","","","","","","","","","99.1384099999999","","","","","","","","",
"Afghanistan","AFG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.06635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.99005","","","","","","","",
"Angola","AGO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.19449","","","","","","","","","","","","","77.43113","","","","",
"Albania","ALB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4351499999999","","","","","","","98.83121","","","98.79119","99.2313999999999","","","","","","",
"Andorra","AND","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","62.01336","62.43227","63.00533","63.73589","64.441","65.22419","66.41365","67.59594","68.96229","69.84421","70.96455","71.98983","73.08461","74.56175","75.49942","75.23815","76.04739","76.91028","77.93968","78.72458","79.37666","80.06881","80.61563","81.56403","82.5614","83.49282","84.16476","84.63714","83.15084","83.92297","84.59842","81.85808","82.26961","82.62586","83.70435","84.41675","84.64643","84.79429","84.9456","","",
"United Arab Emirates","ARE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63.04761","","","","","","","","","","82.47264","","","","","","","","","","","","","","","","","","","","95.00645","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","96.88254","","","","","","","","","","","98.30464","","","","","","","","","","98.9166599999999","","","","","99.44608","","","99.58429","99.29864","99.62824","99.37587","99.55132","99.29671","99.5597","99.5027099999999","","",
"Armenia","ARM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.90996","","","","","","","","","","","","99.80728","","","","","","","","","","99.8473999999999","","","","","","","",
"American Samoa","ASM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","97.65421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8861","","","","","","","","100","","99.9513","99.9505999999999","99.9441","99.93675","99.95247","99.95699","99.94278","99.9404799999999","","",
"Burundi","BDI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.97659","","","","","","","","","","","53.55521","","","","","","","","","","73.33006","","","","","","","","61.73879","","","","","","79.55961","","","","",
"Belgium","BEL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","29.78674","","","","","","","","","","","","","39.87661","","","","","","","","","","45.30962","","","","42.3627","","","","","","52.49247","","","","","","",
"Burkina Faso","BFA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","14.37752","","","","","","","","","","","","","","","","20.18029","","","","","19.41415","","","","","","","31.22926","","32.96662","32.7306","39.25778","","","","","","","50.0963","","","","",
"Bangladesh","BGD","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","35.65325","","","","","","","","","","44.68083","","","","","","","","","","63.62273","","","","","","61.87281","","","","65.71463","77.83291","85.52715","85.55473","87.8887699999999","92.24265","92.95076","",
"Bulgaria","BGR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.21248","","","","","","","","","","97.86505","","","","","","","",
"Bahrain","BHR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","86.29309","","","","","","","","","","96.93811","","","","","","","","","","97.02471","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.01996","","","","","","","","","99.79393","","","","","","","","","","","99.46231","","99.66243","","","","","",
"Belarus","BLR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.76628","","","","","","","","","","99.7918399999999","","","","","","","","","","99.82321","","","","","","","","","",
"Belize","BLZ","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.64147","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.55198","","","","","","","","","","","","","","","","93.8961099999999","","","","","","","","","97.32378","","","","","","99.44136","99.1225","99.38397","","99.00752","98.99588","","","99.39917","","","",
"Brazil","BRA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","83.91427","","","","","","","","","","","","","","","","","","","","94.18411","","","","96.84386","","97.5823","97.80063","97.84363","98.06554","97.51412","98.48692","98.61966","98.73668","98.84569","98.96375","","","",
"Barbados","BRB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","99.75519","","","","","","","","","","","","","","99.9","","","","","","","","","","99.9","","","","","","","","","","99.9","","","","","","","","","","99.9","","","","",
"Brunei Darussalam","BRN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","93.68101","","","","","","","","","","98.09567","","","","","","","","","","98.89379","","","","","","","","","","99.36677","","","","","","","",
"Bhutan","BTN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.40521","","","","","","","87.31836","","","","","","",
"Botswana","BWA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.2583","","","","","","","","","","","","93.95744","","","","","","","","","","","97.7","","","","",
"Central African Republic","CAF","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","37.03696","","","","","","","","","","","","","48.20233","","","","","","","","","","","","60.80705","","","","","","","","","","36.35627","","","","","","","","",
"Canada","CAN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","99.48585","99.48332","99.47945","99.48382","99.47853","99.47276","99.46882","99.46506","99.45988","99.45553","99.45239","99.44974","99.44654","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","96.65398","","","","","","","","","","98.42797","","","","","","","","","","98.9909799999999","","","","","","99.15358","98.87238","","99.40819","","99.04828","","99.3539399999999","","","",
"China","CHN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","88.77334","","","","","","","","94.28147","","","","","","","","","","98.8587299999999","","","","","","","","","","99.64229","","","","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.50848","","","","","","","","","","47.05871","","60.72365","","","","","","","","","","","","48.30996","","53.02069","","","","",
"Cameroon","CMR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","68.81703","","","","","","","","","","","","","","","","","","","","","","","","83.09829","","","","","","","83.13557","","","80.57444","","","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4162599999999","","","","","","65.7765299999999","","","","","83.59755","","","","84.98951","","",
"Congo, Rep.","COG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.91395","","","","","","","",
"Colombia","COL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.48465","","","96.995","","","","","","","","97.99131","97.9584","97.88317","97.96863","97.98927","97.93743","98.09842","98.23938","","","98.54095","98.53473","98.66831","","",
"Comoros","COM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","61.71302","","","","","","","","","","","","","","","","","","","","80.18576","","","","","","","","","","","","71.58127","","","","","","",
"Cabo Verde","CPV","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1679","","","","","","","","","","","","","","94.15","","","","","","","","98.12897","","","98.11131","","","",
"Costa Rica","CRI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","97.14819","","","","","","","","","","","","","","","","97.6147","","","","","","","","","","","99.1337","","","","","","","",
"Caribbean small states","CSS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.54554","92.58711","92.8241","93.05911","93.30483","93.56318","93.83382","94.08466","94.31308","94.51871","94.69546","94.84052","94.9895","95.08046","95.49397","95.57226","95.63724","95.51963","","","","","","","","",
"Cuba","CUB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","99.5685699999999","","","","","","","","","","","","","","","","","","","","","99.9556","","","","","","","","","","99.87465","","","","","","",
"Curacao","CUW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.90682","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.62139","","","","","","","","","99.77493","","","","","","","","","","99.82099","","","","","","","",
"Czech Republic","CZE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","82.6242","","","","","","","","","","","","","","","","","","","","","94.21757","","","","","95.78686","","","96.80575","97.04205","97.0238899999999","97.47243","97.68853","97.61406","98.83941","","",
"Algeria","DZA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.32727","","","","","","","","","","","","","","","90.13721","","","","91.77964","","93.76733","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.4463","83.57622","84.79613","86.00184","87.14597","88.15455","89.13964","89.70498","90.38983","91.00227","91.51694","92.74848","94.02665","94.17458","94.30797","94.29161","94.26183","94.20439","94.25087","94.29854","94.4856","96.69561","96.77104","96.83866","97.85983","96.97472","97.07808","97.23901","98.22624","98.30603","98.25059","98.52337","98.90791","98.87795","98.86252","98.4469","98.47368","98.49369","98.59548","98.57629","98.57652","","",
"Early-demographic dividend","EAR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","61.09552","61.30054","61.98499","62.62815","63.23933","63.72009","64.12059","64.70823","65.24574","65.89435","66.46272","67.07039","68.27198","68.88842","69.84731","70.89703","71.72087","72.8515","73.69249","74.56644","75.47602","76.22767","76.85887","78.88768","79.63957","80.30059","80.92435","81.85031","82.6639","83.51519","83.96845","84.49281","85.03629","86.61185","87.21875","87.45776","87.08146","89.01439","89.49397","90.17131","90.69257","91.17678","","",
"East Asia & Pacific","EAS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","85.0427","85.14153","86.22249","87.28738","88.29172","89.17712","90.0412","90.52818","91.13058","91.67515","92.13688","93.26054","94.4286","94.56417","94.68731","94.67607","94.65269","94.60413","94.65006","94.70251","94.87859","96.8971","96.97106","97.03649","97.97277","97.16374","97.25834","97.40601","98.32002","98.39177","98.33854","98.59107","98.94869","98.92075","98.90678","98.52084","98.54778","98.56884","98.66541","98.64909","98.65097","","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","97.71128","98.27592","98.29759","98.29763","98.32238","98.35402","98.351","98.39165","98.40301","98.43847","98.47656","98.514","98.55078","98.59292","98.6262","98.69015","98.66695","98.80105","98.83539","98.86281","98.86459","98.82858","98.95424","98.9564","98.98751","99.03373","99.33914","99.41968","99.51177","99.56374","99.60638","99.63228","99.66067","99.71222","","",
"Europe & Central Asia","ECS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7104","98.72404","98.79469","98.7953","98.81597","98.82266","98.83705","98.85263","98.86801","98.9097","98.95304","98.99431","99.04792","99.05941","99.15318","99.19578","99.22149","99.24872","99.26049","99.33166","99.32761","99.355","99.37333","99.5459","99.5914","99.63849","99.66929","99.6944","99.71251","99.7266","99.75331","","",
"Ecuador","ECU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.40146","","","","","","","","96.19471","","","","","","","","","","","96.4372099999999","","","","","","98.39142","98.45375","98.80065","98.65271","98.69484","98.83163","98.60464","99.09777","99.1262","99.0571099999999","","",
"Egypt, Arab Rep.","EGY","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","51.03116","","","","","","","","","","63.32762","","","","","","","","","","73.21869","","","","","","","","","84.9329","84.87827","","","","87.50964","","89.28192","92.02342","","","","93.9235999999999","",
"Euro area","EMU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.12878","99.13925","99.15001","99.15993","99.15663","99.15727","99.15709","99.20892","99.25973","99.31755","99.36607","99.42354","99.48432","99.54435","99.56338","99.62899","99.7083","99.72292","99.70186","99.7318","99.70413","99.73253","99.73781","99.72862","99.73547","99.74058","99.75189","99.74794","99.74857","","",
"Eritrea","ERI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.94529","","","","","","86.9749099999999","","","","","","","","","","",
"Spain","ESP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","98.6419499999999","","","","","","","","","","99.55456","","","","","","","","","","","","","99.5582","99.53779","","99.56934","99.56431","99.599","99.59463","99.6994","99.67278","99.6692599999999","99.7227599999999","99.65568","99.6221599999999","","",
"Estonia","EST","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.86789","","","","","","","","","","","99.7705","","","","","","","","","","","99.9489","","","","","","","",
"Ethiopia","ETH","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5854","","","","","","","","","","49.9","44.60597","","54.98298","","","","","","","","","","","",
"European Union","EUU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.16754","99.17535","99.18344","99.1912","99.19054","99.19237","99.19367","99.24148","99.28791","99.33717","99.38016","99.37216","99.4187","99.46771","99.49233","99.54479","99.60688","99.61465","99.60329","99.6245","99.61304","99.70006","99.71057","99.71133","99.72176","99.73105","99.74375","99.74567","","","",
"Fragile and conflict affected situations","FCS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.17896","68.45818","68.79445","69.08982","69.40952","69.65659","69.84966","70.72502","70.73667","71.03116","71.49146","72.02579","72.20968","72.6575","72.81962","73.02526","72.73357","72.7733","72.5785","70.8161","70.67949","70.46653","68.23022","68.45523","69.65076","70.27013","70.62986","71.21672","71.82842","72.11522","","",
"Finland","FIN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.20872","","","","","","","","","","","","","","","","","","","88.50414","","","","","","",
"United Kingdom","GBR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8254199999999","","","","","","","","","","","","99.70261","","","","",
"Ghana","GHA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.66306","","","","","","","","","","85.71615","","","","","","","","",
"Gibraltar","GIB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.71639","","","","","","","47.09126","","","","","","","31.40642","","","","46.29505","","","","",
"Gambia, The","GMB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.55502","","","","","","","","","","","","","60.7779","","","","","",
"Guinea-Bissau","GNB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","36.40142","","","","","","","","","","","","","","","","","","","","","59.49285","","","","","","","","","","","","","","60.40235","","","","",
"Equatorial Guinea","GNQ","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.13137","","","","","","","","","","","","","","98.2","","","","",
"Greece","GRC","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","98.96705","","","","","","","","","","98.98399","","","","","","","","","","98.94053","","","","99.52918","","99.56192","","99.49109","","98.81486","","","","","","","",
"Grenada","GRD","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","98.96236","","","","","","","","","","","","","","99.2","","","","","","","","","","99.2","","","","","","","","","","99.2","","","","","","","","","","99.2","","","","",
"Greenland","GRL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.98821","","","","","","","","82.22026","","","","","","","","","","93.65347","91.85192","94.3542499999999","","","","",
